"user_id","started","lastdata","therm_sens","therm_comfort","therm_pref","therm_accep","met","air_velocity","air_quality","humidity","overall_comfort","tiredness"
MG451892,2023-12-01 12:09:10.000,2023-12-01 12:10:09.000,3.0,4,3,1,1.0,5,4,4,5.0,4
FA872888,2023-12-01 12:11:42.000,2023-12-01 12:12:24.000,5.0,4,2,1,1.0,3,3,3,5.0,3
MG451892,2023-12-01 12:19:07.000,2023-12-01 12:20:21.000,3.0,5,2,1,1.0,4,4,4,5.0,4
FH276183,2023-12-01 12:19:07.000,2023-12-01 12:19:59.000,3.0,3,3,2,1.0,4,4,4,3.0,4
FA872888,2023-12-01 12:21:43.000,2023-12-01 12:22:11.000,4.0,4,2,1,1.2,3,3,4,4.0,3
FH276183,2023-12-01 12:34:09.000,2023-12-01 12:35:08.000,3.0,3,3,2,1.0,4,4,4,3.0,4
MG451892,2023-12-01 12:34:12.000,2023-12-01 12:35:01.000,3.0,5,2,1,1.0,4,4,4,5.0,4
FA872888,2023-12-01 12:36:42.000,2023-12-01 12:37:20.000,4.0,4,2,1,1.0,3,3,4,4.0,3
MG451892,2023-12-01 12:44:07.000,2023-12-01 12:44:46.000,3.0,4,3,1,1.0,5,4,4,4.0,4
FH276183,2023-12-01 12:44:26.000,2023-12-01 12:45:27.000,2.0,2,3,2,1.0,4,5,3,2.0,4
FA872888,2023-12-01 12:46:43.000,2023-12-01 12:47:21.000,3.0,4,2,1,1.0,5,4,4,4.0,3
MG451892,2023-12-01 12:54:10.000,2023-12-01 12:55:02.000,3.0,4,3,1,1.0,5,5,4,4.0,4
FH276183,2023-12-01 12:54:13.000,2023-12-01 12:55:10.000,2.0,2,3,2,1.6,4,5,3,2.0,4
FA872888,2023-12-01 12:56:48.000,2023-12-01 12:57:21.000,4.0,4,3,1,1.0,5,5,4,4.0,3
MG451892,2023-12-01 13:04:16.000,2023-12-01 13:05:02.000,2.0,3,3,1,1.0,5,5,4,3.0,4
FH276183,2023-12-01 13:04:39.000,2023-12-01 13:05:25.000,2.0,2,3,2,1.0,5,5,3,2.0,4
FA872888,2023-12-01 13:06:45.000,2023-12-01 13:07:13.000,5.0,4,2,1,1.0,3,3,4,5.0,3
MG451892,2023-12-01 13:14:08.000,2023-12-01 13:14:42.000,2.0,3,3,1,1.0,5,5,4,3.0,4
FH276183,2023-12-01 13:14:08.000,2023-12-01 13:14:59.000,1.0,1,3,2,1.0,5,5,3,2.0,4
FA872888,2023-12-01 13:16:43.000,2023-12-01 13:17:11.000,3.0,3,3,1,1.0,5,5,4,4.0,3
MG451892,2023-12-01 13:24:09.000,2023-12-01 13:24:44.000,2.0,3,3,1,1.0,5,5,4,2.0,4
FH276183,2023-12-01 13:24:11.000,2023-12-01 13:25:08.000,1.0,1,3,2,1.0,5,6,3,1.0,3
FA872888,2023-12-01 13:26:59.000,2023-12-01 13:27:32.000,3.0,4,3,1,1.0,3,4,4,4.0,3
FH276183,2023-12-01 13:34:08.000,2023-12-01 13:34:55.000,1.0,1,3,2,1.0,5,6,3,1.0,3
MG451892,2023-12-01 13:34:10.000,2023-12-01 13:35:18.000,2.0,2,3,1,1.0,5,5,4,2.0,4
FA872888,2023-12-01 13:36:44.000,2023-12-01 13:37:18.000,3.0,4,3,1,1.0,5,5,4,4.0,3
FH276183,2023-12-01 13:44:07.000,2023-12-01 13:44:59.000,1.0,1,3,2,1.0,5,6,3,1.0,3
MG451892,2023-12-01 13:44:13.000,2023-12-01 13:44:41.000,2.0,2,3,1,1.0,5,5,4,2.0,4
FA872888,2023-12-01 13:46:42.000,2023-12-01 13:47:21.000,3.0,4,3,1,1.0,5,5,4,4.0,3
FH276183,2023-12-01 13:54:08.000,2023-12-01 13:55:00.000,1.0,1,3,2,1.0,5,6,3,2.0,3
MG451892,2023-12-01 13:54:08.000,2023-12-01 13:55:24.000,3.0,3,3,1,1.0,4,4,4,4.0,4
FA872888,2023-12-01 13:56:44.000,2023-12-01 13:57:16.000,4.0,4,2,1,1.0,3,3,3,4.0,3
FH276183,2023-12-01 14:04:07.000,2023-12-01 14:04:52.000,1.0,1,3,2,1.0,4,6,3,2.0,3
MG451892,2023-12-01 14:04:09.000,2023-12-01 14:04:51.000,4.0,4,3,1,1.0,5,4,4,4.0,4
FA872888,2023-12-01 14:06:42.000,2023-12-01 14:07:11.000,3.0,4,3,1,1.0,3,3,4,4.0,3
FH276183,2023-12-01 14:14:07.000,2023-12-01 14:14:50.000,1.0,1,3,2,1.0,5,6,4,2.0,3
MG451892,2023-12-01 14:14:11.000,2023-12-01 14:14:54.000,3.0,4,3,1,1.0,5,4,4,4.0,4
FA872888,2023-12-01 14:16:43.000,2023-12-01 14:17:11.000,4.0,3,3,1,1.0,4,4,3,4.0,3
FH276183,2023-12-01 14:39:08.000,2023-12-01 14:40:03.000,2.0,3,3,2,1.6,5,5,4,3.0,3
MG451892,2023-12-01 14:39:13.000,2023-12-01 14:40:02.000,3.0,3,3,1,1.0,5,5,4,4.0,4
FA872888,2023-12-01 14:41:42.000,2023-12-01 14:42:18.000,4.0,4,3,1,1.0,5,4,4,4.0,3
MG451892,2023-12-01 14:49:08.000,2023-12-01 14:49:52.000,4.0,4,3,1,1.0,4,4,4,4.0,4
FH276183,2023-12-01 14:49:08.000,2023-12-01 14:50:18.000,3.0,3,3,1,1.0,5,5,4,3.0,3
FA872888,2023-12-01 14:52:00.000,2023-12-01 14:52:32.000,4.0,4,2,1,1.0,5,4,4,4.0,3
FH276183,2023-12-01 14:59:08.000,2023-12-01 14:59:56.000,3.0,3,3,2,1.0,4,5,4,3.0,3
MG451892,2023-12-01 14:59:09.000,2023-12-01 14:59:41.000,3.0,4,3,1,1.0,4,4,4,4.0,4
FA872888,2023-12-01 15:01:47.000,2023-12-01 15:02:12.000,4.0,4,2,1,1.0,4,4,3,4.0,3
